public_id,name,slug,category,facility_status,stage_of_development,is_live,is_under_construction,longitude,latitude,city,admin_region,country_code,company_id,dcbyte_url
2RpEVG,PDC1,previder-pdc1,Colocation,Open,live,True,False,6.767169249,52.285278606,Borne,Overijssel,NL,m2PmYl,https://app.dcbyte.com/property/previder-pdc1
bGz7jw,Frankfurt,kddi-telehouse-frankfurt,Colocation,Open,live,True,False,8.62968,50.09608,Niederrad,Hesse,DE,DWJQln,https://app.dcbyte.com/property/kddi-telehouse-frankfurt
mGrJ4G,DC 1.3,dc-1-3,Colocation,Open,live,True,False,6.112497257,49.505825712,Bettembourg,Luxembourg,LU,pWZnjW,https://app.dcbyte.com/property/dc-1-3
R0WWgB,Brive-la-Gaillarde,brive-la-gaillarde,Colocation,Open,live,True,False,1.509200042,45.15759092,Brive-la-Gaillarde,Limousin,FR,olzvzl,https://app.dcbyte.com/property/brive-la-gaillarde
4RKvPB,Amsterdam West,global-switch-amsterdam-west,Colocation,Open,live,True,False,4.830256877,52.344310443,Amstelveen,North Holland,NL,aldo2p,https://app.dcbyte.com/property/global-switch-amsterdam-west
RpYV5G,,verizon-nap-of-amsterdam,Self-build,Open,live,True,False,4.801985016,52.322495187,Amstelveen,North Holland,NL,,https://app.dcbyte.com/property/verizon-nap-of-amsterdam
G6o34w,EDCAMS04,edgeconnex-edcams04,Colocation,Open,live,True,False,4.76775,52.28109,Aalsmeer,North Holland,NL,PWOPEL,https://app.dcbyte.com/property/edgeconnex-edcams04
BPby4G,SHG5,goteborg-energi-gothnet-shg5,Colocation,Open,live,True,False,12.002174065,57.731293135,Goeteborg,Vaestra Goetaland,SE,XlqKPE,https://app.dcbyte.com/property/goteborg-energi-gothnet-shg5
DR4A3G,Datacenter Kirchberg,bce-datacenter-kirchberg,Colocation,Open,live,True,False,6.161496,49.637659,Kirchberg,Luxembourg,LU,olzJ4l,https://app.dcbyte.com/property/bce-datacenter-kirchberg
6w9o2R,Datacenter Junglister 1,bce-datacenter-junglister-1,Colocation,Open,live,True,False,6.26431,49.719149,Junglinster,Grevenmacher,LU,olzJ4l,https://app.dcbyte.com/property/bce-datacenter-junglister-1
R4JrVw,,new-orleans,Self-build,Open,live,True,False,-90.070008194,29.949025276,New Orleans,Louisiana,US,,https://app.dcbyte.com/property/new-orleans
wOQXgR,,hcl-technologies-goteborg-1,Self-build,Open,live,True,False,11.855324649,57.725177506,Majorna,Vaestra Goetaland,SE,,https://app.dcbyte.com/property/hcl-technologies-goteborg-1
BJgDrR,,telia-stockholm,Self-build,Open,live,True,False,18.022967,59.313262,Arsta,Stockholm,SE,,https://app.dcbyte.com/property/telia-stockholm
mGrp8B,EWR3,ewr3,Colocation,Open,live,True,False,-74.45716366,40.553933893,Society Hill,New Jersey,US,WBB9RW,https://app.dcbyte.com/property/ewr3
gweVAB,LEE01,lee01,Colocation,Open,live,True,False,5.764761687,53.204772721,Bilgaard,Friesland,NL,4EKyBl,https://app.dcbyte.com/property/lee01
GrXvXB,Asuncion Ipxon,asuncion-ipxon,Colocation,Open,live,True,False,-57.567891833,-25.280369728,Asuncion,Asuncion,PY,OWBLp2,https://app.dcbyte.com/property/asuncion-ipxon
kGab3w,AM4,equinix-am4,Colocation,Open,live,True,False,4.961214923,52.353931655,Diemen,North Holland,NL,XW5rEZ,https://app.dcbyte.com/property/equinix-am4
ARNoLG,250 Williams Street NW (ATL14),digital-realty-250-williams-street-nw-(atl14),Colocation,Open,live,True,False,-84.391314431,33.761704334,Atlanta,Georgia,US,7EmxWb,https://app.dcbyte.com/property/digital-realty-250-williams-street-nw-(atl14)
8RvegB,AM6,equinix-am6,Colocation,Open,live,True,False,4.933676928,52.337363293,Duivendrecht,North Holland,NL,XW5rEZ,https://app.dcbyte.com/property/equinix-am6
GykMVB,CX1 (TelcoHub),cx1-(telcohub),Colocation,Open,"live, committed",True,False,101.655661018,2.912764863,Putrajaya,Putrajaya,MY,7EmxWb,https://app.dcbyte.com/property/cx1-(telcohub)
gB718G,Datacenter Den Haag,cellnex-telecom-datacenter-den-haag,Colocation,Open,live,True,False,4.335528,52.080702,Voorburg,South Holland,NL,P2ga5W,https://app.dcbyte.com/property/cellnex-telecom-datacenter-den-haag
DGneVR,LHR26,digital-realty-lhr26,Colocation,Open,live,True,False,-0.617844999,51.516460748,Slough,England,GB,7EmxWb,https://app.dcbyte.com/property/digital-realty-lhr26
Gz3rDw,NVA5-NVA7,nva5-nva7,Colocation,Open,live,True,False,-77.433931896,39.024625555,Sterling,Virginia,US,8W1O2K,https://app.dcbyte.com/property/nva5-nva7
2RpqrG,LHR2,lhr2,Colocation,Open,live,True,False,-0.019171084,51.494749996,Poplar,England,GB,WBB9RW,https://app.dcbyte.com/property/lhr2
BA7o6G,SJC7,sjc7,Colocation,Open,live,True,False,-121.910494506,37.338477743,San Jose,California,US,E8emV2,https://app.dcbyte.com/property/sjc7
Gz94dR,M1,nextdc-m1,Colocation,Open,live,True,False,144.932103,-37.822678,Port Melbourne,Victoria,AU,dW7p9E,https://app.dcbyte.com/property/nextdc-m1
R0aVWG,M2,nextdc-m2,Colocation,Open,"live, under_construction, committed",True,True,144.876323363,-37.70871833,Tullamarine,Victoria,AU,dW7p9E,https://app.dcbyte.com/property/nextdc-m2
BbnDxB,Surabaya Data Centre,telkomsigma-surabaya-data-centre,Colocation,Open,live,True,False,112.635604514,-7.299950157,Driyorejo,East Java,ID,q265wE,https://app.dcbyte.com/property/telkomsigma-surabaya-data-centre
R2ZPeR,BKK01,bridge-dc-bkk01,Colocation,Open,"live, committed",True,False,100.760936278,13.574972749,Bang Bo District,Samut Prakan,TH,J2RKZl,https://app.dcbyte.com/property/bridge-dc-bkk01
JGmbVw,Cloud House West,digital-realty-cloud-house-west,Colocation,Open,live,True,False,-0.018816,51.496862,Poplar,England,GB,7EmxWb,https://app.dcbyte.com/property/digital-realty-cloud-house-west
WRQVpG,LHR18 (Oliver's Yard),lhr18-(oliver's-yard),Colocation,Open,live,True,False,-0.086774,51.524359,Barbican,England,GB,7EmxWb,https://app.dcbyte.com/property/lhr18-(oliver's-yard)
zwOvPG,Madrid,madrid-globalswitch,Colocation,Open,"live, early_stage",True,False,-3.57463,40.44796,Barajas de Madrid,Madrid,ES,aldo2p,https://app.dcbyte.com/property/madrid-globalswitch
qGL5ow,LHR17 (West Drayton),lhr17-(west-drayton),Colocation,Open,live,True,False,-0.460324,51.481567,West Drayton,England,GB,7EmxWb,https://app.dcbyte.com/property/lhr17-(west-drayton)
PBPvyG,POR01,edgeconnex-por01,Colocation,Open,live,True,False,-122.915298596,45.551723953,Rockcreek,Oregon,US,PWOPEL,https://app.dcbyte.com/property/edgeconnex-por01
w9xn0G,Brussels,lumen-technologies-brussels,Colocation,Open,live,True,False,4.412132,50.857707,Diegem,Flanders,BE,V2kO62,https://app.dcbyte.com/property/lumen-technologies-brussels
DR4OXB,ME5,equinix-me5,Colocation,Open,live,True,False,144.953453562,-37.807909079,West Melbourne,Victoria,AU,XW5rEZ,https://app.dcbyte.com/property/equinix-me5
RKlZZG,Rue de la Chapelle,rue-de-la-chapelle,Colocation,Open,live,True,False,4.906720691,45.865735655,Cailloux-sur-Fontaines,Rhone-Alpes,FR,q26L9W,https://app.dcbyte.com/property/rue-de-la-chapelle
DBAVQR,SY7,equinix-sy7,Colocation,Open,live,True,False,150.857814812,-34.463141249,Berkeley,New South Wales,AU,XW5rEZ,https://app.dcbyte.com/property/equinix-sy7
WRQ3jw,EDCDUB01,edgeconnex-edcdub01,Colocation,Open,live,True,False,-6.45399,53.32714,Lucan,Leinster,IE,PWOPEL,https://app.dcbyte.com/property/edgeconnex-edcdub01
GW6qZR,EDCDUB02,edgeconnex-edcdub02,Colocation,Open,live,True,False,-6.45477492,53.328948982,Lucan,Leinster,IE,PWOPEL,https://app.dcbyte.com/property/edgeconnex-edcdub02
B1pKyw,Poitiers,cogent-communications-poitiers,Colocation,Open,live,True,False,0.339494,46.588515,Poitiers,Poitou-Charentes,FR,J2RD7W,https://app.dcbyte.com/property/cogent-communications-poitiers
GlXOYG,DPC Nizhegorodskiy,dpc-nizhegorodskiy,Colocation,Open,live,True,False,37.690489,55.736995,Taganskiy,Moscow,RU,0EQ8VW,https://app.dcbyte.com/property/dpc-nizhegorodskiy
G6blbG,,telnet-via-caldera,Self-build,Open,live,True,False,9.103410499,45.477601565,Figino,Lombardy,IT,,https://app.dcbyte.com/property/telnet-via-caldera
6w9OER,MOS1,mos1,Colocation,Open,live,True,False,37.577374,55.86264,Slobodka,Moscow,RU,b2YQo2,https://app.dcbyte.com/property/mos1
gB7XbR,Brussels,brussels,Colocation,Open,live,True,False,4.504856,50.871956,Zaventem,Flanders,BE,2PwmjE,https://app.dcbyte.com/property/brussels
YBg54G,Profile Park (DUB13-DUB16),drt-profile-park-(dub13-dub16),Colocation,Open,"live, early_stage",True,False,-6.442172,53.313859,Saggart,Leinster,IE,7EmxWb,https://app.dcbyte.com/property/drt-profile-park-(dub13-dub16)
pGD7YR,AE1,equinix-ae1,Colocation,Open,live,True,False,138.589229738,-34.923303656,Adelaide,South Australia,AU,XW5rEZ,https://app.dcbyte.com/property/equinix-ae1
YBqqlB,"Harlow Campus (KLON - 1, KLON - 2, KLON-3, KLON-4, KLON-07 and KLON-08)",harlow-campus,Colocation,Open,"live, early_stage, under_construction",True,True,0.129158,51.769163,Harlow,England,GB,m2PJYW,https://app.dcbyte.com/property/harlow-campus
wOQ8dR,SH5,gds-holdings-sh5,Colocation,Open,live,True,False,121.4706,31.24243,Hongkou,Shanghai Shi,CN,z2wv3E,https://app.dcbyte.com/property/gds-holdings-sh5
Rv46Aw,Dabai Building Data Center,dabai-building-data-center,Colocation,,,False,False,116.371552233,39.770869588,Xihongmen,Beijing,CN,zWMKv2,https://app.dcbyte.com/property/dabai-building-data-center
Gm5jgG,,brac-data-centre,Self-build,Open,live,True,False,90.406534694,23.771934886,Paltan,Dhaka,BD,,https://app.dcbyte.com/property/brac-data-centre
NwoPbB,Saint-Jacques I,saint-jacques-i,Colocation,Open,live,True,False,6.139451555,48.703360601,Laxou,Lorraine,FR,7EmQmE,https://app.dcbyte.com/property/saint-jacques-i
GrZnlG,,red-crescent-borak-tower,Self-build,Open,live,True,False,90.4015991,23.744698659,Paltan,Dhaka,BD,,https://app.dcbyte.com/property/red-crescent-borak-tower
